,aX,aY,aZ,gX,gY,gZ
181,-41.56,-32.2,1.27,0.97,-4.52,10.82
182,-40.51,-42.86,-5.38,8.26,-4.52,10.82
183,-40.51,-42.86,-5.38,8.26,-6.18,5.4
184,-40.51,-42.86,-5.38,8.26,-6.18,5.4
185,-40.51,-42.86,-5.38,8.26,-6.18,5.4
186,-26.1,-42.86,-5.38,8.26,-6.18,5.4
187,-26.1,-49.65,-33.36,4.29,13.83,5.4
188,-26.1,-49.65,-33.36,4.29,13.83,-38.64
189,-26.1,-49.65,-33.36,4.29,13.83,-38.64
190,-13.92,-49.65,-33.36,4.29,13.83,-38.64
191,-13.92,6.09,-11.98,4.41,13.83,-38.64
192,-13.92,6.09,-11.98,4.41,62.04,-44.82
193,-13.92,6.09,-11.98,4.41,62.04,-44.82
194,-13.92,6.09,-11.98,4.41,62.04,-44.82
195,-14.89,19.28,-11.98,4.41,62.04,-44.82
196,-14.89,19.28,24.04,16.63,65.99,14.36
197,-14.89,19.28,24.04,16.63,65.99,14.36
198,-14.89,19.28,24.04,16.63,65.99,14.36
199,-18.34,17.5,24.04,16.63,65.99,14.36
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,-26.43,-36.56,-7.94,0,0,0
204,-26.43,-36.56,-7.94,16.64,33.41,-42.82
205,-26.43,-36.56,-7.94,16.64,33.41,-42.82
206,-26.43,-36.56,-7.94,16.64,33.41,-42.82
207,-20.59,-4.86,-7.94,16.64,33.41,-42.82
208,-20.59,-4.86,9.04,10.05,44.81,-27.59
209,-20.59,-4.86,9.04,10.05,44.81,-27.59
210,-20.59,-4.86,9.04,10.05,44.81,-27.59
211,-17.58,31.99,9.04,10.05,44.81,-27.59
212,-17.58,31.99,32.57,3.4,48.3,5.33
213,-17.58,31.99,32.57,3.4,48.3,5.33
214,-17.58,31.99,32.57,3.4,48.3,5.33
215,-35.54,31.99,32.57,3.4,48.3,5.33
216,-35.54,30.89,61.9,2.41,16.22,5.33
217,-35.54,30.89,61.9,2.41,16.22,49.43
218,-35.54,30.89,61.9,2.41,16.22,49.43
219,-23.32,30.89,61.9,2.41,16.22,49.43
220,-23.32,-24.33,68.83,2.41,16.22,49.43
221,-23.32,-24.33,68.83,-9.25,-27.51,66.69
222,-23.32,-24.33,68.83,-9.25,-27.51,66.69
223,-23.32,-24.33,68.83,-9.25,-27.51,66.69
224,-13.86,-64.73,27.09,-9.25,-27.51,66.69
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,-36.9,0,0,0,0,0
228,-36.9,-50.62,-5.19,14.82,0,0
229,-36.9,-50.62,-5.19,14.82,4.21,-19.51
230,-36.9,-50.62,-5.19,14.82,4.21,-19.51
231,-36.9,-50.62,-5.19,14.82,4.21,-19.51
232,-29.18,-30.59,-12.87,29.45,4.21,-19.51
233,-29.18,-30.59,-12.87,29.45,17.9,-30.25
234,-29.18,-30.59,-12.87,29.45,17.9,-30.25
235,-29.18,-30.59,-12.87,29.45,17.9,-30.25
236,-8.47,-3.79,-12.87,29.45,17.9,-30.25
237,-8.47,-3.79,-12.5,22.48,67.03,-27.76
238,-8.47,-3.79,-12.5,22.48,67.03,-27.76
239,-8.47,-3.79,-12.5,22.48,67.03,-27.76
240,-17.2,-3.79,-12.5,22.48,67.03,-27.76
241,-17.2,27.8,35.9,-11.11,67.03,-27.76
242,-17.2,27.8,35.9,-11.11,76.64,32.94
243,-17.2,27.8,35.9,-11.11,76.64,32.94
244,-17.2,27.8,35.9,-11.11,76.64,32.94
245,-21.4,1.19,35.9,-11.11,76.64,32.94
246,-21.4,1.19,90.64,1.51,15.85,64.5
247,-21.4,1.19,90.64,1.51,15.85,64.5
248,-21.4,1.19,90.64,1.51,15.85,64.5
249,-7.24,-52.03,64.03,1.51,15.85,64.5
